ID,Section,Status,Pass,Subtopic,Authors,Year,Article Title,Journal,Volume / Issue / Pages,Study Type,Population / Scope,DOI,DOI URL,Full Text URL,PDF Available,Hosting Status,Tags,Suggested Local Filename
00A-05,"00A. Evolution, Adaptation & Evolutionary Mismatch",Final,,Exploration / Foraging,"Barack, D. L.; Ludwig, V. U.; Parodi, F.; Ahmed, N.; Brannon, E. M.; Ramakrishnan, A.; Platt, M. L.",2024,Attention deficits linked with proclivity to explore while foraging,Proceedings of the Royal Society B: Biological Sciences,"291(2017), 20222584",Preregistered behavioral study,Adults / ADHD screening traits,10.1098/rspb.2022.2584,https://doi.org/10.1098/rspb.2022.2584,https://pmc.ncbi.nlm.nih.gov/articles/PMC10878810/,Yes - PMC,Link only - publisher states all rights reserved,ADHD; Evolution; Exploration; Foraging; Adaptation; Behavior,00A_2024_Barack_ADHD-Foraging-Exploration.pdf
01-01,01. Scaffold 1 - Externalize Your Schedule,Final,,Organizational Skills / Meta-analysis,"Bikic, A.; Reichow, B.; McCauley, S. A.; Ibrahim, K.; Sukhodolsky, D. G.",2017,Meta-analysis of organizational skills interventions for children and adolescents with Attention-Deficit/Hyperactivity Disorder,Clinical Psychology Review,"52, 108-123",Systematic review and meta-analysis,"12 randomized studies; 1,054 children and adolescents with ADHD",10.1016/j.cpr.2016.12.004,https://doi.org/10.1016/j.cpr.2016.12.004,https://pubmed.ncbi.nlm.nih.gov/28088557/,Publisher access / open version not confirmed,Link only - publisher copyright,ADHD; Organizational Skills; Time Management; Planning; Meta-analysis; Children; Adolescents,01_2017_Bikic_Organizational-Skills-Meta-Analysis.pdf
01-02,01. Scaffold 1 - Externalize Your Schedule,Final,,Organization / Time Management / Planning,"Abikoff, H.; Gallagher, R.; Wells, K. C.; Murray, D. W.; Huang, L.; Lu, F.; Petkova, E.",2013,Remediating organizational functioning in children with ADHD: Immediate and long-term effects from a randomized controlled trial,Journal of Consulting and Clinical Psychology,"81(1), 113-128",Randomized controlled trial,"158 children with ADHD, grades 3-5",10.1037/a0029648,https://doi.org/10.1037/a0029648,https://pmc.ncbi.nlm.nih.gov/articles/PMC3549033/,Yes - PMC author manuscript,Link only - rehosting rights not independently cleared,ADHD; Organizational Skills Training; Time Management; Planning; Children; RCT,01_2013_Abikoff_Organizational-Functioning-RCT.pdf
01-03,01. Scaffold 1 - Externalize Your Schedule,Final,,Homework / Organization / Planning Skills,"Langberg, J. M.; Epstein, J. N.; Becker, S. P.; Girio-Herrera, E.; Vaughn, A. J.",2012,"Evaluation of the Homework, Organization, and Planning Skills (HOPS) intervention for middle school students with ADHD as implemented by school mental health providers",School Psychology Review,"41(3), 342-364",Randomized controlled trial,"47 middle-school students with ADHD, grades 6-8",10.1080/02796015.2012.12087514,https://doi.org/10.1080/02796015.2012.12087514,https://pmc.ncbi.nlm.nih.gov/articles/PMC4209597/,Yes - PMC author manuscript,Link only - rehosting rights not independently cleared,ADHD; HOPS; Planner; Homework; Organization; Time Management; Adolescents; RCT,01_2012_Langberg_HOPS-RCT.pdf
01-04,01. Scaffold 1 - Externalize Your Schedule,Final,,School-Based Homework / Organization,"Langberg, J. M.; Dvorsky, M. R.; Molitor, S. J.; Bourchtein, E.; Eddy, L. D.; Smith, Z. R.; Oddo, L. E.; Eadeh, H. M.",2018,Overcoming the research-to-practice gap: A randomized trial with two brief homework and organization interventions for students with ADHD as implemented by school mental health providers,Journal of Consulting and Clinical Psychology,"86(1), 39-55",Randomized controlled trial,280 middle-school students with ADHD,10.1037/ccp0000265,https://doi.org/10.1037/ccp0000265,https://pubmed.ncbi.nlm.nih.gov/29172596/,Publisher access,Link only - APA copyright,ADHD; HOPS; CHIEF; Organization; Homework; Planning; Adolescents; RCT,01_2018_Langberg_HOPS-CHIEF-RCT.pdf
01-05,01. Scaffold 1 - Externalize Your Schedule,Final,,Time Perception / Time-Assistive Devices,"Wennberg, B.; Janeslätt, G.; Kjellberg, A.; Gustafsson, P. A.",2018,Effectiveness of time-related interventions in children with ADHD aged 9-15 years: A randomized controlled study,European Child & Adolescent Psychiatry,"27(3), 329-342",Randomized controlled trial,"38 children with ADHD and time-processing difficulties, ages 9-15",10.1007/s00787-017-1052-5,https://doi.org/10.1007/s00787-017-1052-5,https://pmc.ncbi.nlm.nih.gov/articles/PMC5852175/,Yes - open access,Rehosting permitted under CC BY 4.0 with attribution and license terms,ADHD; Time Management; Visual Timers; Calendars; Time-Assistive Devices; Children; RCT,01_2018_Wennberg_Time-Assistive-Devices-RCT.pdf
01-06,01. Scaffold 1 - Externalize Your Schedule,Final,,Adult Time Management / Organization / Planning,"Solanto, M. V.; Marks, D. J.; Wasserstein, J.; Mitchell, K.; Abikoff, H.; Alvir, J. M. J.; Kofman, M. D.",2010,Efficacy of meta-cognitive therapy for adult ADHD,American Journal of Psychiatry,"167(8), 958-968",Randomized controlled trial,88 clinically referred adults with ADHD,10.1176/appi.ajp.2009.09081123,https://doi.org/10.1176/appi.ajp.2009.09081123,https://pmc.ncbi.nlm.nih.gov/articles/PMC3633586/,Yes - PMC author manuscript,Link only - rehosting rights not independently cleared,ADHD; Adults; Metacognitive Therapy; Time Management; Organization; Planning; RCT,01_2010_Solanto_Metacognitive-Therapy-Adult-ADHD.pdf
01-07,01. Scaffold 1 - Externalize Your Schedule,Final,,College Organization / Time Management / Planning,"LaCount, P. A.; Hartung, C. M.; Shelton, C. R.; Stevens, A. E.",2018,Efficacy of an organizational skills intervention for college students with ADHD symptomatology and academic difficulties,Journal of Attention Disorders,"22(4), 356-367",Controlled intervention study,37 undergraduate students with elevated ADHD symptoms and academic impairment,10.1177/1087054715594423,https://doi.org/10.1177/1087054715594423,https://pubmed.ncbi.nlm.nih.gov/26253149/,Publisher access,Link only - SAGE copyright,ADHD; College Students; Organization; Time Management; Planning; Academic Functioning,01_2018_LaCount_College-Organizational-Skills.pdf
01-08,01. Scaffold 1 - Externalize Your Schedule,Final,,Adult Cognitive Remediation / Organization,"Stevenson, C. S.; Whitmont, S.; Bornholt, L.; Livesey, D.; Stevenson, R. J.",2002,A cognitive remediation programme for adults with Attention Deficit Hyperactivity Disorder,Australian and New Zealand Journal of Psychiatry,"36(5), 610-616",Randomized controlled trial,43 adults with ADHD,10.1046/j.1440-1614.2002.01052.x,https://doi.org/10.1046/j.1440-1614.2002.01052.x,https://pubmed.ncbi.nlm.nih.gov/12225443/,Publisher access,Link only - publisher copyright,ADHD; Adults; Cognitive Remediation; Organizational Skills; Coaching; RCT,01_2002_Stevenson_Cognitive-Remediation-Adult-ADHD.pdf
01-09,01. Scaffold 1 - Externalize Your Schedule,Final,,Working Memory / Organizational Skills,"Chan, E. S. M.; Gaye, F.; Cole, A. M.; Singh, L. J.; Kofler, M. J.",2023,Central executive training for ADHD: Impact on organizational skills at home and school. A randomized controlled trial,Neuropsychology,"37(8), 859-871",Preregistered randomized controlled trial,"73 children with ADHD, ages 8-13",10.1037/neu0000918,https://doi.org/10.1037/neu0000918,https://pmc.ncbi.nlm.nih.gov/articles/PMC10615842/,Yes - PMC author manuscript,Link only - rehosting rights not independently cleared,ADHD; Working Memory; Task Planning; Organized Action; Materials Management; Children; RCT,01_2023_Chan_Central-Executive-Training-Organization.pdf
01-10,01. Scaffold 1 - Externalize Your Schedule,Final,,Organizational Skills / Clinical Review,"Langberg, J. M.; Epstein, J. N.; Graham, A. J.",2008,Organizational-skills interventions in the treatment of ADHD,Expert Review of Neurotherapeutics,"8(10), 1549-1561",Peer-reviewed clinical review,"Children, adolescents, and adults with ADHD",10.1586/14737175.8.10.1549,https://doi.org/10.1586/14737175.8.10.1549,https://pubmed.ncbi.nlm.nih.gov/18928347/,Publisher access,Link only - publisher copyright,ADHD; Organizational Skills; Time Management; Planning; Review; Lifespan,01_2008_Langberg_Organizational-Skills-Review.pdf
01-11,01. Scaffold 1 - Externalize Your Schedule,Final,,Adult Time Management / Occupational Therapy,"Lidström Holmqvist, K.; Wingren, M.; Udumyran, R.; Holmefur, M.",2026,Effectiveness of a group-based time-management intervention: A pragmatic randomised controlled trial,Disability and Rehabilitation,"48(14), 4496-4512",Pragmatic randomized controlled trial,"75 adults with impaired time management due to ADHD, autism, or other mental disorders",10.1080/09638288.2026.2614218,https://doi.org/10.1080/09638288.2026.2614218,https://www.tandfonline.com/doi/full/10.1080/09638288.2026.2614218,Yes - open access,Open access; verify article license terms before local rehosting,ADHD; Adults; Time Management; Organization; Planning; Occupational Therapy; Pragmatic RCT,01_2026_Holmqvist_Group-Time-Management-RCT.pdf
02-01,02. Scaffold 2 - Sunlight & Exercise,Final,,Exercise / Umbrella Review,"Zhu, F.; Zhang, X.; Wu, Y.; Li, Y.; Ren, Y.; Zhang, M.",2026,Physical exercise interventions for health outcomes in children and adolescents with attention deficit hyperactivity disorder: An umbrella review with meta-analysis,Psychiatry Research,"364, 117267",Umbrella review with meta-analysis,Children and adolescents with ADHD; 45 meta-analyses included,10.1016/j.psychres.2026.117267,https://doi.org/10.1016/j.psychres.2026.117267,https://pubmed.ncbi.nlm.nih.gov/42284935/,Publisher access,Link only - Elsevier copyright,ADHD; Exercise; Physical Activity; Executive Function; Core Symptoms; Umbrella Review; Children; Adolescents,02_2026_Zhu_Exercise-Umbrella-Review-ADHD.pdf
02-02,02. Scaffold 2 - Sunlight & Exercise,Final,,Exercise / Meta-analysis of RCTs,"Seiffer, B.; Hautzinger, M.; Ulrich, R.; Wolf, S.",2022,The Efficacy of Physical Activity for Children with Attention Deficit Hyperactivity Disorder: A Meta-Analysis of Randomized Controlled Trials,Journal of Attention Disorders,"26(5), 656-673",Systematic review and meta-analysis of randomized controlled trials,Children and adolescents with clinically diagnosed ADHD,10.1177/10870547211017982,https://doi.org/10.1177/10870547211017982,https://pmc.ncbi.nlm.nih.gov/articles/PMC8785285/,Yes - PMC,Link only - reuse rights not independently cleared,ADHD; Exercise; Physical Activity; Core Symptoms; Meta-analysis; RCT; Children; Adolescents,02_2022_Seiffer_Physical-Activity-Meta-Analysis-RCTs.pdf
02-03,02. Scaffold 2 - Sunlight & Exercise,Final,,Exercise Type / Network Meta-analysis,"Zhu, F.; Zhu, X.; Bi, X.; Kuang, D.; Liu, B.; Zhou, J.; Yang, Y.; Ren, Y.",2023,Comparative effectiveness of various physical exercise interventions on executive functions and related symptoms in children and adolescents with attention deficit hyperactivity disorder: A systematic review and network meta-analysis,Frontiers in Public Health,"11, 1133727",Systematic review and network meta-analysis,"59 studies reviewed; 44 studies with 1,757 participants included in meta-analysis",10.3389/fpubh.2023.1133727,https://doi.org/10.3389/fpubh.2023.1133727,https://pmc.ncbi.nlm.nih.gov/articles/PMC10080114/,Yes - open access,Rehosting permitted under Frontiers CC BY terms with attribution,ADHD; Exercise; Executive Function; Aerobic Exercise; Open-Skill Exercise; Network Meta-analysis; Children; Adolescents,02_2023_Zhu_Exercise-Network-Meta-Analysis.pdf
02-04,02. Scaffold 2 - Sunlight & Exercise,Final,,Acute Aerobic Exercise / Executive Function,"Chang, Y.-K.; Liu, S.; Yu, H.-H.; Lee, Y.-H.",2012,Effect of acute exercise on executive function in children with attention deficit hyperactivity disorder,Archives of Clinical Neuropsychology,"27(2), 225-237",Randomized controlled trial,40 children with ADHD,10.1093/arclin/acr094,https://doi.org/10.1093/arclin/acr094,https://pubmed.ncbi.nlm.nih.gov/22306962/,Publisher access,Link only - Oxford University Press copyright,ADHD; Acute Exercise; Aerobic Exercise; Executive Function; Inhibitory Control; Children; RCT,02_2012_Chang_Acute-Exercise-Executive-Function.pdf
02-05,02. Scaffold 2 - Sunlight & Exercise,Final,,Combined Aerobic and Neurocognitive Exercise,"Liang, X.; Qiu, H.; Wang, P.; Sit, C. H. P.",2022,The impacts of a combined exercise on executive function in children with ADHD: A randomized controlled trial,Scandinavian Journal of Medicine & Science in Sports,"32(8), 1297-1312",Randomized controlled trial,"80 children with ADHD ages 6-12, plus 40 typically developing comparison participants",10.1111/sms.14192,https://doi.org/10.1111/sms.14192,https://pubmed.ncbi.nlm.nih.gov/35611615/,Publisher access,Link only - publisher copyright,ADHD; Exercise; Aerobic Exercise; Neurocognitive Exercise; Executive Function; Sleep; Children; RCT,02_2022_Liang_Combined-Exercise-RCT.pdf
02-06,02. Scaffold 2 - Sunlight & Exercise,Final,,Adult Exercise / Add-on Treatment,"Axelsson Svedell, L.; Arvidsson Lindvall, M.; Lidström Holmqvist, K.; Cao, Y.; Msghina, M.",2025,Physical exercise as add-on treatment in adults with ADHD - the START study: a randomized controlled trial,Frontiers in Psychiatry,"16, 1690216",Randomized controlled trial,63 adults with clinically confirmed ADHD,10.3389/fpsyt.2025.1690216,https://doi.org/10.3389/fpsyt.2025.1690216,https://pmc.ncbi.nlm.nih.gov/articles/PMC12614457/,Yes - open access,Rehosting permitted under CC BY with attribution,ADHD; Adults; Exercise; Physical Activity; Add-on Treatment; Quality of Life; RCT,02_2025_Axelsson-Svedell_START-Adult-Exercise-RCT.pdf
02-07,02. Scaffold 2 - Sunlight & Exercise,Final,,Bright Light Therapy / Circadian Phase,"Fargason, R. E.; Fobian, A. D.; Hablitz, L. M.; Paul, J. R.; White, B. A.; Cropsey, K. L.; Gamble, K. L.",2017,Correcting delayed circadian phase with bright light therapy predicts improvement in ADHD symptoms: A pilot study,Journal of Psychiatric Research,"91, 105-110",Open-label pilot intervention study,19 adults with ADHD receiving standard care plus morning bright light therapy,10.1016/j.jpsychires.2017.03.004,https://doi.org/10.1016/j.jpsychires.2017.03.004,https://pmc.ncbi.nlm.nih.gov/articles/PMC7959333/,Yes - PMC author manuscript,Link only - Elsevier copyright / rehosting rights not independently cleared,ADHD; Bright Light Therapy; Circadian Rhythm; DLMO; Adults; Sleep Timing; Pilot Study,02_2017_Fargason_Bright-Light-Circadian-ADHD.pdf
02-08,02. Scaffold 2 - Sunlight & Exercise,Final,,Chronotherapy / Bright Light,"van Andel, E.; Bijlenga, D.; Vogel, S. W. N.; Beekman, A. T. F.; Kooij, J. J. S.",2021,Effects of chronotherapy on circadian rhythm and ADHD symptoms in adults with attention-deficit/hyperactivity disorder and delayed sleep phase syndrome: a randomized clinical trial,Chronobiology International,"38(2), 260-269",Three-arm randomized clinical trial,51 adults with ADHD and delayed sleep phase syndrome,10.1080/07420528.2020.1835943,https://doi.org/10.1080/07420528.2020.1835943,https://pubmed.ncbi.nlm.nih.gov/33121289/,Publisher access,Link only - Taylor & Francis copyright,ADHD; Bright Light Therapy; Chronotherapy; Circadian Rhythm; Delayed Sleep Phase; Adults; RCT,02_2021_van-Andel_Chronotherapy-Bright-Light-RCT.pdf
02-09,02. Scaffold 2 - Sunlight & Exercise,Final,,Bright Light Therapy vs Exercise,"Mayer, J. S.; Kohlhas, L.; Stermann, J.; Medda, J.; Brandt, G. A.; Grimm, O.; Pawley, A. D.; Asherson, P.; Palacio Sanchez, J.; Richarte, V.; et al.",2025,"Bright light therapy versus physical exercise to prevent co-occurring depression in adolescents and young adults with attention-deficit/hyperactivity disorder: a multicentre, three-arm, randomised controlled, pilot phase-IIa trial",European Archives of Psychiatry and Clinical Neuroscience,"275(3), 653-665",Multicentre randomized controlled pilot phase-IIa trial,"207 participants with ADHD ages 14-45 randomized to bright light therapy, exercise, or treatment as usual",10.1007/s00406-024-01784-1,https://doi.org/10.1007/s00406-024-01784-1,https://pmc.ncbi.nlm.nih.gov/articles/PMC11946981/,Yes - open access,Rehosting permitted under CC BY 4.0 with attribution and license terms,ADHD; Bright Light Therapy; Exercise; Adolescents; Adults; Depression Prevention; RCT; Open Access,02_2025_Mayer_Bright-Light-vs-Exercise-RCT.pdf
02-10,02. Scaffold 2 - Sunlight & Exercise,Final,,Outdoor Nature / Attention,"Faber Taylor, A.; Kuo, F. E.",2009,Children with attention deficits concentrate better after walk in the park,Journal of Attention Disorders,"12(5), 402-409",Single-blind within-subject randomized controlled trial,17 children ages 7-12 with professionally diagnosed ADHD,10.1177/1087054708323000,https://doi.org/10.1177/1087054708323000,https://pubmed.ncbi.nlm.nih.gov/18725656/,Publisher access,Link only - SAGE copyright,ADHD; Outdoor Activity; Nature; Green Space; Attention; Walking; Children; RCT,02_2009_Faber-Taylor_Park-Walk-Attention.pdf
02-11,02. Scaffold 2 - Sunlight & Exercise,Final,,Environmental Light Exposure / Rest-Activity Rhythm,"Ulset, V. S.; Czajkowski, N. O.; Staton, S.; Smith, S.; Pattinson, C.; Allen, A.; Thorpe, K.; Bekkhus, M.",2021,"Environmental light exposure, rest-activity rhythms, and symptoms of inattention and hyperactivity: An observational study of Australian preschoolers",Journal of Environmental Psychology,"73, 101560",Prospective observational study,48 preschool children ages 3-6 with objective light-exposure and rest-activity measurement,10.1016/j.jenvp.2021.101560,https://doi.org/10.1016/j.jenvp.2021.101560,https://www.sciencedirect.com/science/article/pii/S027249442100013X,Yes - open access,Open access under a Creative Commons license - verify exact license terms before local rehosting,Light Exposure; Circadian Rhythm; Hyperactivity; Inattention; Preschool; Environmental Light; Observational,02_2021_Ulset_Environmental-Light-Hyperactivity.pdf
03-01,03. Scaffold 3 - Diet & Caloric Intake,Final,,Dietary Patterns / Meta-analysis,"Del-Ponte, B.; Quinte, G. C.; Cruz, S.; Grellert, M.; Santos, I. S.",2019,Dietary patterns and attention deficit/hyperactivity disorder (ADHD): A systematic review and meta-analysis,Journal of Affective Disorders,"252, 160-173",Systematic review and meta-analysis,14 observational studies in children and adolescents,10.1016/j.jad.2019.04.061,https://doi.org/10.1016/j.jad.2019.04.061,https://pubmed.ncbi.nlm.nih.gov/30986731/,Publisher access,Link only - Elsevier copyright,ADHD; Diet; Dietary Patterns; Healthy Diet; Western Diet; Children; Adolescents; Meta-analysis,03_2019_Del-Ponte_Dietary-Patterns-Meta-Analysis.pdf
03-02,03. Scaffold 3 - Diet & Caloric Intake,Final,,Dietary Patterns / Food Groups / Meta-analysis,"Shareghfarid, E.; Sangsefidi, Z. S.; Salehi-Abargouei, A.; Hosseinzadeh, M.",2020,Empirically derived dietary patterns and food groups intake in relation with Attention Deficit/Hyperactivity Disorder (ADHD): A systematic review and meta-analysis,Clinical Nutrition ESPEN,"36, 28-35",Systematic review and meta-analysis,Dietary-pattern and food-group studies involving children and adolescents,10.1016/j.clnesp.2019.10.013,https://doi.org/10.1016/j.clnesp.2019.10.013,https://pubmed.ncbi.nlm.nih.gov/32220366/,Publisher access,Link only - Elsevier copyright,ADHD; Diet; Dietary Patterns; Food Groups; Healthy Diet; Western Diet; Junk Food; Meta-analysis,03_2020_Shareghfarid_Dietary-Patterns-Food-Groups-Meta-Analysis.pdf
03-03,03. Scaffold 3 - Diet & Caloric Intake,Final,,Dietary Interventions / Systematic Review,"Rytter, M. J. H.; Andersen, L. B. B.; Houmann, T.; Bilenberg, N.; Hvolby, A.; Mølgaard, C.; Michaelsen, K. F.; Lauritzen, L.",2015,Diet in the treatment of ADHD in children - a systematic review of the literature,Nordic Journal of Psychiatry,"69(1), 1-18",Systematic review,52 dietary intervention studies in children with ADHD or equivalent diagnoses,10.3109/08039488.2014.921933,https://doi.org/10.3109/08039488.2014.921933,https://pubmed.ncbi.nlm.nih.gov/24934907/,Publisher access,Link only - publisher copyright,ADHD; Diet; Dietary Intervention; Children; Systematic Review; Nutrition,03_2015_Rytter_Diet-Treatment-ADHD-Systematic-Review.pdf
03-04,03. Scaffold 3 - Diet & Caloric Intake,Final,,Nutrition / Clinical Review,"Lange, K. W.; Lange, K. M.; Nakamura, Y.; Reissmann, A.",2023,Nutrition in the Management of ADHD: A Review of Recent Research,Current Nutrition Reports,"12(3), 383-394",Peer-reviewed clinical review,"Recent cohort studies, interventions, systematic reviews, and meta-analyses on ADHD and nutrition",10.1007/s13668-023-00487-8,https://doi.org/10.1007/s13668-023-00487-8,https://link.springer.com/article/10.1007/s13668-023-00487-8,Yes - open access,Rehosting permitted under CC BY 4.0 with attribution and license terms,ADHD; Nutrition; Diet Quality; Dietary Patterns; Micronutrients; Elimination Diet; Review; Open Access,03_2023_Lange_Nutrition-Management-ADHD-Review.pdf
03-05,03. Scaffold 3 - Diet & Caloric Intake,Final,,Mediterranean Diet / Breakfast / Food Quality,"Ríos-Hernández, A.; Alda, J. A.; Farran-Codina, A.; Ferreira-García, E.; Izquierdo-Pulido, M.",2017,The Mediterranean Diet and ADHD in Children and Adolescents,Pediatrics,"139(2), e20162027",Case-control study,120 children and adolescents; 60 newly diagnosed ADHD and 60 matched controls,10.1542/peds.2016-2027,https://doi.org/10.1542/peds.2016-2027,https://pubmed.ncbi.nlm.nih.gov/28138007/,Publisher access,Link only - American Academy of Pediatrics copyright,ADHD; Mediterranean Diet; Breakfast Skipping; Diet Quality; Children; Adolescents; Case-Control,03_2017_Rios-Hernandez_Mediterranean-Diet-ADHD.pdf
