ID,Section,Resource Type,Author / Speaker,Title,Publication / Platform,Date,URL,Why It Matters,Scaffold Relevance,Audience,Access Notes,Status
01-R01,01. Scaffold 1 - Externalize Your Schedule,Mainstream reported feature / lived experience,Alaina Demopoulos,‘Am I just an asshole?’ Time blindness can explain chronic lateness - some of the time,The Guardian,"July 3, 2025",https://www.theguardian.com/society/2025/jul/03/time-blindness-adhd-tiktok,A readable public discussion of ADHD-related time blindness built around people who genuinely struggle to be on time despite effort and consequences. It also asks an important question about where explanation ends and responsibility begins.,"Creates the rationale for external scheduling systems. If internal time perception is unreliable, departure times, preparation windows, alarms, visible clocks, buffers, and calendar cues have to carry part of the workload instead.",Adults with ADHD; partners; employers; clinicians; general readers,Free Guardian feature. 'Time blindness' is a descriptive term rather than a formal diagnosis.,Final
01-R02,01. Scaffold 1 - Externalize Your Schedule,Psychologist-written public article,"Kathleen Bogart, PhD, with Mollie Greenblum",How ADHD Leads to Time Blindness,Psychology Today,"December 5, 2023",https://www.psychologytoday.com/us/blog/disability-is-diversity/202311/how-adhd-leads-to-time-blindness,"Explains common ADHD difficulties with estimating elapsed time, sequencing events, judging how long tasks will take, and becoming absorbed in activities. The piece ties these problems to real consequences such as missed deadlines and chronic lateness.","Highly practical: recommends time logs, timers, multiple alarms, visual timers, planners, working backward from deadlines, breaking projects into smaller pieces, and intentionally scheduling activities that tend to create hyperfocus.",Adults and teens with ADHD; families; clinicians; students,Free public Psychology Today article,Final
01-R03,01. Scaffold 1 - Externalize Your Schedule,Mainstream practical feature,Elizabeth C. Hamblet,8 Simple Ways Parents Can Teach Kids to Get Organized,TIME,"February 10, 2016",https://time.com/4208279/8-simple-ways-parents-can-teach-kids-to-get-organized/,"A mainstream article that treats organization and time management as skills that need to be explicitly taught, particularly for young people with ADHD and learning differences, rather than as abilities they should simply acquire on their own.","Strong examples of externalization include weekly schedule reviews, interim deadlines for long projects, counting backward from due dates, wall calendars to keep future events visible, electronic calendars for portable capture, and routines for synchronizing systems.",Parents; teens and young adults with ADHD; students; educators,TIME article; access may vary,Final
01-R04,01. Scaffold 1 - Externalize Your Schedule,Mainstream first-person feature,Renée Yaseen,"Tackling your to-do list? Me, neither. Here’s what I’ve learned about pandemic procrastination.",The Washington Post,"July 28, 2020",https://www.washingtonpost.com/lifestyle/2020/07/28/procrastinate-pandemic-to-do-list-adhd/,"A first-person exploration of the way long to-do lists, too many choices, and executive-function demands can produce decision paralysis rather than productive action. It makes the experience of knowing what needs to be done but still being unable to sequence it understandable.","Useful counterweight to the idea that writing a giant list solves the problem. External systems work better when they reduce choices, identify the next action, limit what is visible at one time, and convert an undifferentiated list into a sequence that can actually be started.",Adults with ADHD; people struggling with procrastination; general readers,Washington Post article; subscription access may vary,Final
01-R05,01. Scaffold 1 - Externalize Your Schedule,Mainstream medically reviewed practical article,"Heather Hatfield; medically reviewed by Smitha Bhandari, MD",Get Organized With Adult ADHD,WebMD,"January 8, 2018",https://www.webmd.com/add-adhd/features/got-adult-adhd-get-organized_,"A straightforward general-audience article about the organizational load of adult life with ADHD, including work, family, appointments, responsibilities, and the difficulty of holding schedules and details in mind.","Explicitly recommends tracking time and using planners, calendars, lists, or apps as visual references that hold schedule information outside working memory. It also emphasizes making written tasks detailed and specific rather than vague.",Adults with ADHD; families; partners; general readers,Free WebMD article; medically reviewed,Final
02-R01,02. Scaffold 2 - Sunlight & Exercise,Mainstream reported health feature,Ben Opipari,Why a little bit of exercise can help academically for kids with ADHD,The Washington Post,"August 15, 2020",https://www.washingtonpost.com/health/exercise-breaks-help-kids-with-adhd-learn/2020/08/14/57f41e94-cc2f-11ea-bc6a-6841b28d9093_story.html,"A clear general-audience explanation of research showing that even relatively short bouts of movement can improve attention, behavioral regulation, and academic task performance in children with ADHD.",Turns exercise into an immediate tool rather than a distant fitness goal. Short movement breaks before or during cognitively demanding work can be deliberately scheduled as part of the learning environment instead of treating movement as a distraction from learning.,Parents; students; educators; clinicians; general readers,Washington Post article; subscription access may vary.,Final
02-R02,02. Scaffold 2 - Sunlight & Exercise,Neuroscientist-written practical article,"Ludovico Saint Amour di Chanaz, PhD",5 Tips on How to Exercise With ADHD,Psychology Today,"February 16, 2026",https://www.psychologytoday.com/us/blog/brain-curiosities/202602/5-tips-on-how-to-exercise-with-adhd,"Addresses a problem that generic exercise advice misses: people with ADHD may know exercise is helpful and still struggle to initiate or sustain it because of delayed rewards, boredom, sensory discomfort, and task-initiation difficulties.","Excellent scaffold material: make showing up the goal, choose enjoyable movement, use a gym buddy or body doubling, add music, start very small, and simplify the routine enough that exercise can survive inconsistent motivation.",Adults with ADHD; teens; clinicians; coaches; general readers,Free public Psychology Today article.,Final
02-R03,02. Scaffold 2 - Sunlight & Exercise,Medically reviewed practical / lived-experience article,"Daniel Preiato, RD, CSCS; medically reviewed by Angela M. Bell, MD, FACP",Exploring the Link Between ADHD and Exercise,Healthline,"Updated February 24, 2025",https://www.healthline.com/health/adhd/adhd-and-exercise,"Combines an accessible review of exercise and ADHD with the author's own experience using sports and strength training to help manage attention, impulsivity, and emotional energy. It also keeps exercise framed as complementary rather than a universal medication replacement.","Provides multiple routes into movement, including walking, cycling, martial arts, hiking, boxing, HIIT, and resistance training, while emphasizing consistency and variety. That supports choosing a form of movement that fits the person's actual interests and sensory needs.",Adults with ADHD; families; general readers; fitness professionals,Free medically reviewed Healthline article. Medication changes should be made with a prescribing clinician.,Final
02-R04,02. Scaffold 2 - Sunlight & Exercise,Mainstream science feature,Matt Fuchs; edited by Tanya Lewis,"To Help Your Body Adjust to Daylight Saving Time, Try Sunlight and Exercise",Scientific American,"March 5, 2026",https://www.scientificamerican.com/article/to-help-your-body-adjust-to-daylight-saving-time-try-sunlight-and-exercise/,"A concise explanation of two powerful daytime cues for the circadian system: morning light and physical activity. Although written around clock changes rather than ADHD specifically, it clearly explains why light and movement signal wakefulness and help stabilize sleep timing.","Supports pairing morning outdoor light with movement as one repeatable routine. The usefulness is behavioral simplicity: one habit can provide daylight exposure, physical activity, and a strong environmental signal that the active part of the day has begun.",General readers; adults with ADHD; families; clinicians,Scientific American article; access may vary by subscription.,Final
02-R05,02. Scaffold 2 - Sunlight & Exercise,Mainstream reported wellness feature,Amy Fleming,‘Just do something you enjoy!’ Have official targets made exercise a chore - and happiness more elusive?,The Guardian,"December 11, 2024",https://www.theguardian.com/lifeandstyle/2024/dec/11/just-do-something-you-enjoy-have-official-targets-made-exercise-a-chore-and-happiness-more-elusive,"Challenges rigid all-or-nothing exercise messaging and explores evidence that enjoyment, autonomy, social connection, and setting may matter greatly for whether people sustain physical activity and gain mental-health benefits.","Especially relevant to ADHD because a technically perfect exercise plan that is boring or burdensome is unlikely to survive. The scaffold is to choose movement that is rewarding enough to repeat, lower the threshold for success, and build activity around interest rather than guilt.",General readers; adults with ADHD; people struggling with exercise adherence,"Free Guardian feature. The article addresses exercise and mental health broadly, not ADHD specifically.",Final
03-R01,03. Scaffold 3 - Diet & Caloric Intake,Mainstream first-person feature,Sophie Brickman,My adult ADHD drugs felt like a lifeline. Then came the scary side-effects …,The Guardian,"August 20, 2022",https://www.theguardian.com/lifeandstyle/2022/aug/20/adhd-drugs-side-effects-prescription-stimulants,"A vivid first-person account of stimulant treatment that includes a substantial loss of appetite, weight loss, thirst, rebound effects, and the difficulty of eating adequately when medication has made food feel uninteresting.","Shows why adequate calories sometimes need to become an intentional system rather than something left to appetite. Planned meals, calorie-dense foods, eating before medication effects peak, and monitoring weight or nutritional intake may be necessary supports to discuss with a prescriber.",Adults with ADHD; families; partners; clinicians; general readers,Free Guardian feature. Personal experience should not be generalized to all stimulant users; medication side effects and dosing should be discussed with the prescribing clinician.,Final
03-R02,03. Scaffold 3 - Diet & Caloric Intake,Dietitian-written public article,"Dawn Clifford, PhD, RD, with Julia Williams",5 Ways ADHD Disrupts Eating and Body Image,Psychology Today,"March 26, 2026",https://www.psychologytoday.com/us/blog/words-hold-weight/202603/5-ways-adhd-disrupts-eating-and-body-image,"Explains how executive-function difficulties, impulsivity, emotional regulation, sensory preferences, and reduced awareness of hunger or fullness can all affect eating in ADHD. It reframes irregular eating as a functional problem rather than a simple failure of discipline.","Strong practical suggestions include keeping simple meals and snacks visible and accessible, reducing preparation demands, checking in with hunger and fullness cues, and expanding sources of stimulation beyond food.",Adults with ADHD; clinicians; dietitians; families; general readers,Free public Psychology Today article. The piece uses neurodiversity-affirming language and includes practical nutrition strategies.,Final
03-R03,03. Scaffold 3 - Diet & Caloric Intake,Medically reviewed practical article,"Sarah Choi; medically reviewed by Bethany Juby, PsyD",How to Not Forget to Eat with ADHD,Healthline,"April 24, 2025",https://www.healthline.com/health/adhd/how-to-not-forget-to-eat-with-adhd,"Addresses one of the most ordinary but consequential ADHD food problems directly: a person intends to eat but working-memory limits, hyperfocus, poor time awareness, or lack of prepared food allow meals to disappear from the day.","Almost a pure scaffold article: set meal reminders, keep ready-to-eat food available, carry shelf-stable snacks, prepare food in advance, and reduce the number of steps required between realizing you need food and actually eating it.",Adults and teens with ADHD; families; general readers,Free medically reviewed Healthline article.,Final
03-R04,03. Scaffold 3 - Diet & Caloric Intake,Mainstream medically reviewed explainer,"Beth Roybal, Anne Krueger, and Amy Gopal; medically reviewed by Smitha Bhandari, MD",ADHD Diet and Nutrition: Foods to Eat and Foods to Avoid,WebMD,"October 7, 2025",https://www.webmd.com/add-adhd/adhd-diets,A useful general-reader reality check on the crowded world of ADHD diet claims. It explains that evidence for special ADHD diets is limited and mixed while distinguishing ordinary balanced nutrition from elimination diets and supplement claims.,Keeps the scaffold focused on dependable nourishment rather than dietary ideology. The useful question is not 'What diet cures ADHD?' but 'What food system makes it easier to eat regularly and adequately while supporting overall health?',Adults with ADHD; parents; families; general readers,Free medically reviewed WebMD article. Restrictive diets and supplements should be discussed with qualified healthcare professionals.,Final
03-R05,03. Scaffold 3 - Diet & Caloric Intake,Mainstream expert nutrition feature,"Maria Cohut, PhD; expert commentary from Michelle Routhenstein, MS, RD, CDCES, CDN",What a dietitian would eat in a day to help with ADHD,Medical News Today,"April 20, 2026",https://www.medicalnewstoday.com/articles/what-dietitian-would-eat-daily-help-adhd-best-diet,Uses a dietitian's perspective to discuss practical nutrition for adults with ADHD while pushing back on restrictive online trends such as ketogenic diets being promoted as primary ADHD treatment. It also addresses sensory food preferences and maintaining nutrient adequacy.,"Supports simplifying meals, choosing foods that provide sustained energy, accommodating sensory preferences instead of fighting them, and prioritizing nutritional adequacy over perfection. That is far more sustainable for ADHD than a complicated restrictive regimen.",Adults with ADHD; families; clinicians; general readers,Free public Medical News Today article; fact checked. Dietary changes may support general health but are not established substitutes for evidence-based ADHD treatment.,Final
04-R01,04. Scaffold 4 - Sleep Hygiene,Mainstream reported health feature,Katherine Ellison,Quality vs. quantity: Untangling sleep issues tied up with ADHD,The Washington Post,"February 7, 2025",https://www.washingtonpost.com/wellness/2025/02/07/adhd-sleep-insomnia-executive-function/,"A strong science-journalism piece on the relationship between ADHD, insomnia, circadian rhythm, slow-wave sleep, and executive functioning. It avoids the simplistic assumption that every tired person merely needs more hours in bed.","Connects nighttime sleep quality directly with daytime attention and regulation. It also highlights practical morning supports such as activity, cold water, sunlight, music, and social contact, reinforcing that sleep hygiene includes both ends of the sleep-wake cycle.",Adults with ADHD; parents; clinicians; educators; general readers,"Washington Post article; subscription access may vary. Persistent sleep problems should be evaluated for insomnia, sleep apnea, circadian disorders, or other causes rather than assumed to be ADHD alone.",Final
04-R02,04. Scaffold 4 - Sleep Hygiene,Psychologist-written public article,"J. Russell Ramsay, PhD, ABPP",Adult ADHD and Coping With Sleep Difficulties,Psychology Today,"February 19, 2021",https://www.psychologytoday.com/us/blog/rethinking-adult-adhd/202102/adult-adhd-and-coping-sleep-difficulties,"Ramsay describes ADHD sleep problems in recognizable behavioral terms: difficulty winding down, 'one more thing' thinking, bedtime procrastination, sleep inertia, doom-scrolling, and the temptation to use late night as protected personal time.","One of the strongest fits for the project. It recommends a personalized getting-ready-for-sleep script, external bedtime cues, fixed wake times, writing down worries and tasks, relaxation strategies, and environmental prompts that make the transition to sleep more automatic.",Adults with ADHD; clinicians; partners; general readers,Free public Psychology Today article.,Final
04-R03,04. Scaffold 4 - Sleep Hygiene,First-person mainstream essay,Naoise Dolan,Putting down my phone and picking up a book has saved my sleep,The Guardian,"August 12, 2021",https://www.theguardian.com/books/2021/aug/12/putting-down-my-phone-and-picking-up-a-book-has-saved-my-sleep-naoise-dolan,"A highly readable lived-experience account from an author with ADHD describing insomnia, compulsive phone use, nighttime stimulation, and the difficulty of abandoning an immediately rewarding screen even when she knew it was damaging her sleep.","Shows environmental redesign in action: the phone goes into a kitchen drawer before bed, an alarm clock replaces it, and familiar low-stimulation reading becomes the default bedside activity. The success comes from changing the environment rather than repeatedly trying to resist the phone.",Adults with ADHD; people with insomnia; general readers,"Free Guardian essay. This is personal experience, not clinical evidence, and should be presented as a useful example of an individualized sleep scaffold.",Final
04-R04,04. Scaffold 4 - Sleep Hygiene,Mainstream expert feature,Jamie Friedlander Serrano,How to Stop Procrastinating at Bedtime and Actually Go to Sleep,TIME,"March 18, 2024",https://time.com/6957353/bedtime-procrastination-how-to-go-to-sleep/,"Explains bedtime procrastination through interviews with sleep specialists and explicitly notes that it is common among people with ADHD. It captures the conflict between needing sleep and wanting to reclaim stimulation, autonomy, or personal time late at night.","Provides simple behavioral changes: move personal time earlier, reserve the bed for sleep, keep wake times consistent, act on the first wave of drowsiness, and complete bedtime-care tasks earlier so fewer steps remain when executive energy is lowest.",General readers; adults with ADHD; parents; professionals,"TIME health feature; access may vary. Bedtime procrastination is a behavioral description, not itself an ADHD diagnosis.",Final
04-R05,04. Scaffold 4 - Sleep Hygiene,Medically reviewed public explainer,"Erica Cirino; medically reviewed by Thomas Johnson, PA-C",ADHD and Sleep Disorders: What's the Connection?,Healthline,"Updated September 19, 2024",https://www.healthline.com/health/adhd/sleep-problems,"A useful general-reader overview of the overlap between ADHD and insomnia, restless legs syndrome, sleep apnea, medication timing, daytime fatigue, and the way poor sleep can worsen attention and regulation.","Keeps the sleep scaffold from becoming merely a bedtime-routine checklist. Readers are reminded that some persistent problems require identification and treatment of an actual sleep disorder, while home strategies can support regular sleep timing and a less stimulating sleep environment.",Adults with ADHD; parents; families; general readers,Free medically reviewed Healthline article. Persistent or severe sleep problems warrant professional assessment.,Final
05-R01,05. Scaffold 5 - Caffeine Titration,Psychologist-written public article,"Lindsay Weisner, PsyD",Can Caffeine Calm Your ADHD Brain?,Psychology Today,"March 27, 2026",https://www.psychologytoday.com/us/blog/the-venn-diagram-life/202603/can-caffeine-calm-your-adhd-brain,"A readable ADHD-specific discussion of why caffeine can feel clarifying or calming for some people and jittery, anxious, or counterproductive for others. It also clearly distinguishes caffeine from prescribed stimulant medication.","Supports treating caffeine response as individual and observable rather than assuming it helps everyone with ADHD. Track dose, timing, focus, anxiety, physical activation, and sleep, and discuss regular caffeine use with a prescriber when stimulant medication is also being used.",Adults with ADHD; families; clinicians; general readers,"Free Psychology Today article. The ADHD evidence discussed includes limited and indirect research, so caffeine should not be presented as an established ADHD treatment or medication substitute.",Final
05-R02,05. Scaffold 5 - Caffeine Titration,Mainstream reported science feature,Katherine Kam,The best ways to use caffeine to boost your alertness,The Washington Post,"March 12, 2025",https://www.washingtonpost.com/wellness/2025/03/13/caffeine-cognition-boost/,"A practical science-based guide to caffeine timing, dose, metabolism, tolerance, and cognitive effects. It also pushes back on unsupported social-media rules and emphasizes that the same amount can affect different people very differently.","Excellent for a titration framework: know approximately how many milligrams are being consumed, account for all caffeine sources, observe personal sensitivity, time intake around actual needs, and establish a cutoff early enough to protect sleep.",Adults with ADHD; general readers; professionals; clinicians,"Washington Post article; subscription access may vary. The article cites the FDA guideline of no more than 400 mg daily for most healthy adults, but that is a population safety ceiling, not a recommended personal dose.",Final
05-R03,05. Scaffold 5 - Caffeine Titration,Mainstream science explainer,Joanna Thompson,How Much Caffeine Is Too Much?,Scientific American,"December 1, 2023",https://www.scientificamerican.com/article/how-much-caffeine-is-too-much/,"A concise explanation of caffeine dose, variation in commercial beverages, physical dependence, withdrawal, anxiety, genetic differences in metabolism, and why a dose that is comfortable for one person may be excessive for another.","Adds both safety and tapering to the scaffold. Readers can measure intake in milligrams rather than vague 'cups,' recognize headache or concentration problems as possible withdrawal, and reduce gradually when testing whether caffeine is actually helping.",General readers; adults using caffeine regularly; clinicians; families,Scientific American article; access may vary. Concentrated caffeine powders or pills carry substantially greater dosing risk than ordinary beverages.,Final
05-R04,05. Scaffold 5 - Caffeine Titration,Long-form first-person science feature,Michael Pollan,The invisible addiction: is it time to give up caffeine?,The Guardian,"July 6, 2021",https://www.theguardian.com/food/2021/jul/06/caffeine-coffee-tea-invisible-addiction-is-it-time-to-give-up,"Pollan combines interviews with caffeine researchers and his own withdrawal experiment to show how easily regular caffeine use becomes the unnoticed baseline, making it difficult to distinguish genuine cognitive benefit from relief of withdrawal symptoms.","Especially useful for the personal-inventory side of titration. If concentration deteriorates when caffeine is skipped, the question becomes whether caffeine is improving baseline functioning or simply reversing withdrawal. A structured reduction can make that distinction easier to observe.",Adults with ADHD; regular caffeine users; general readers,"Free Guardian long read. Pollan's experience is anecdotal, but the piece draws heavily on established caffeine and withdrawal research.",Final
05-R05,05. Scaffold 5 - Caffeine Titration,Mainstream expert health feature,Lauryn Higgins,Why You Feel Anxious After Drinking Coffee,TIME,"November 11, 2025",https://time.com/7331760/why-does-coffee-give-me-anxiety/,"Explains why caffeine can shift from useful alertness into anxiety, racing thoughts, palpitations, or an exaggerated stress response. The piece emphasizes differences in genetics, metabolism, baseline stress, sleep, hormones, and tolerance.","Provides clear stopping signals for titration. More stimulation is not automatically more useful. Anxiety, insomnia, palpitations, feeling wired without improved concentration, or worsening next-day function are reasons to reduce dose, change timing, or reconsider caffeine altogether.",Adults with ADHD; people with anxiety; general readers; clinicians,"TIME health feature; access may vary. Persistent palpitations, significant anxiety, or other concerning symptoms warrant medical evaluation rather than continued self-experimentation.",Final
06-R01,06. Scaffold 6 - Journaling & Writing: The Personal Inventory,Psychologist-written public article,"Catherine J. Mutti-Driscoll, PhD",Metacognition and ADHD: Understand Your Thinking,Psychology Today,"February 18, 2025",https://www.psychologytoday.com/us/blog/empowerment-is-real/202502/metacognition-and-adhd-understand-your-thinking,"Explains metacognition as the ability to notice how you think, monitor what is happening during a task, learn from the outcome, and change strategy. It is directly relevant to ADHD difficulties with self-monitoring, working memory, time estimation, and impulsive action.","Almost a blueprint for the personal inventory: externalize thoughts through journaling, voice memos, or mind maps; ask what worked before, during, and after a task; track progress visibly; and treat failed strategies as information to revise rather than evidence of personal failure.",Adults and teens with ADHD; clinicians; educators; coaches; general readers,Free public Psychology Today article.,Final
06-R02,06. Scaffold 6 - Journaling & Writing: The Personal Inventory,Mainstream expert feature,Madeleine Aggeler,‘Subtle but powerful form of self-validation’: how to start journaling,The Guardian,"April 27, 2026",https://www.theguardian.com/wellness/2026/apr/27/how-to-start-journaling,A highly accessible introduction to journaling featuring therapists and expressive-writing researcher James Pennebaker. It emphasizes that writing gives internal thoughts and feelings an external place to land and can clarify experiences that otherwise remain tangled in rumination.,"Excellent ADHD fit because it removes unnecessary rules: use paper, phone, computer, a whiteboard, a list, one sentence, or several pages. Start with five minutes and make accessibility more important than maintaining an idealized daily diary.",General readers; adults with ADHD; people new to journaling; clinicians,"Free Guardian feature. Benefits of journaling vary by context, and persistent distress may require professional support.",Final
06-R03,06. Scaffold 6 - Journaling & Writing: The Personal Inventory,Mainstream technology / practical feature,Heather Kelly,Want to try journaling? Start by opening your phone or hiding it.,The Washington Post,"May 22, 2023",https://www.washingtonpost.com/technology/2023/05/22/digital-journaling/,"Shows how flexible journaling can be in real life: paragraphs, drawings, lists, spreadsheets, audio, digital notes, or paper. It also profiles people who use productivity, health, and screen-time data as context for reflecting on how their weeks actually went.","Strong personal-inventory model: collect observable information, review prior entries, compare intention with what actually happened, and use that history to make a more realistic plan for the next week. The format should fit the person rather than the other way around.",Adults with ADHD; technology users; general readers; people who dislike conventional diaries,Washington Post article; subscription access may vary.,Final
